epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,488.349,0.21324,0.20042,0.80849,0.99728,0.99428,0.995,0.99437,0.16155,0.14331,0.74353,0.00119391,0.00119391,0.00119391
45,499.357,0.22032,0.20868,0.81764,0.99913,1,0.995,0.99448,0.14977,0.1432,0.74208,0.0011829,0.0011829,0.0011829
46,510.36,0.2151,0.19934,0.8112,0.99911,1,0.995,0.99452,0.14848,0.13739,0.74374,0.0011719,0.0011719,0.0011719
47,521.429,0.20933,0.19591,0.8094,0.9991,1,0.995,0.99426,0.16605,0.14618,0.7472,0.0011609,0.0011609,0.0011609
48,532.522,0.20872,0.18965,0.80813,0.99909,1,0.995,0.99451,0.14604,0.13242,0.74247,0.0011499,0.0011499,0.0011499
49,543.543,0.21748,0.19334,0.81452,0.9992,1,0.995,0.99481,0.16208,0.1351,0.74584,0.00113889,0.00113889,0.00113889
50,554.625,0.2026,0.1784,0.81423,0.99918,1,0.995,0.99325,0.17568,0.14295,0.74782,0.00112789,0.00112789,0.00112789
51,565.685,0.21034,0.18397,0.81155,0.99909,1,0.995,0.995,0.15815,0.13137,0.74517,0.00111689,0.00111689,0.00111689
52,576.679,0.21334,0.18379,0.81467,0.99904,1,0.995,0.9944,0.15345,0.13283,0.74335,0.00110589,0.00110589,0.00110589
53,587.766,0.20618,0.17966,0.81318,0.99877,1,0.995,0.99289,0.15778,0.13032,0.74389,0.00109489,0.00109489,0.00109489
54,598.727,0.2052,0.17745,0.80849,0.99907,1,0.995,0.99417,0.17335,0.14828,0.74746,0.00108388,0.00108388,0.00108388
55,609.726,0.20149,0.17746,0.79933,0.99917,1,0.995,0.99472,0.14654,0.12521,0.74179,0.00107288,0.00107288,0.00107288
56,620.739,0.20278,0.1824,0.80996,0.9991,1,0.995,0.99453,0.15562,0.12352,0.74337,0.00106188,0.00106188,0.00106188
57,631.781,0.19847,0.18727,0.80968,0.99899,1,0.995,0.99413,0.16665,0.13782,0.74495,0.00105088,0.00105088,0.00105088
58,642.809,0.19977,0.17883,0.81152,0.99913,1,0.995,0.995,0.14982,0.13031,0.7427,0.00103987,0.00103987,0.00103987
59,653.92,0.21172,0.17889,0.80988,0.9992,1,0.995,0.99442,0.15037,0.14403,0.7431,0.00102887,0.00102887,0.00102887
60,664.951,0.20633,0.18203,0.81311,0.99906,1,0.995,0.99428,0.155,0.14388,0.74319,0.00101787,0.00101787,0.00101787
61,676.012,0.19821,0.17125,0.80381,0.99895,1,0.995,0.9939,0.1379,0.12369,0.74088,0.00100687,0.00100687,0.00100687
62,687.043,0.19326,0.17429,0.80756,0.9991,1,0.995,0.99449,0.13957,0.1158,0.74033,0.000995866,0.000995866,0.000995866
63,698.047,0.19667,0.17429,0.80048,0.99919,1,0.995,0.99434,0.15066,0.12245,0.74109,0.000984864,0.000984864,0.000984864
64,709.046,0.19192,0.16894,0.81078,0.99915,1,0.995,0.99353,0.15344,0.13035,0.74394,0.000973861,0.000973861,0.000973861
65,720.056,0.20661,0.18245,0.80693,0.99899,1,0.995,0.99343,0.16146,0.1356,0.74328,0.000962859,0.000962859,0.000962859
66,731.076,0.20379,0.17934,0.81356,0.99916,1,0.995,0.99256,0.16204,0.1377,0.74417,0.000951857,0.000951857,0.000951857
67,742.026,0.19942,0.17341,0.81062,0.99922,1,0.995,0.99343,0.16138,0.12811,0.7452,0.000940855,0.000940855,0.000940855
68,753.055,0.19947,0.17743,0.81721,0.99912,1,0.995,0.9942,0.15428,0.12039,0.74218,0.000929853,0.000929853,0.000929853
69,764.176,0.20437,0.16836,0.81198,0.99902,1,0.995,0.99443,0.14727,0.11818,0.7427,0.00091885,0.00091885,0.00091885
70,775.221,0.19601,0.16496,0.80364,0.99921,1,0.995,0.9946,0.15356,0.11718,0.743,0.000907848,0.000907848,0.000907848
71,786.21,0.19466,0.17533,0.80666,0.99921,1,0.995,0.99465,0.15466,0.12576,0.74306,0.000896846,0.000896846,0.000896846
72,797.235,0.18662,0.16036,0.79606,0.99913,1,0.995,0.99422,0.13368,0.11704,0.73889,0.000885844,0.000885844,0.000885844
73,808.322,0.18492,0.1612,0.80407,0.99911,1,0.995,0.99376,0.14659,0.12659,0.7418,0.000874842,0.000874842,0.000874842
74,819.382,0.19365,0.16406,0.80389,0.99913,1,0.995,0.995,0.14791,0.1196,0.74358,0.000863839,0.000863839,0.000863839
75,830.427,0.19658,0.1667,0.80527,0.99921,1,0.995,0.995,0.15119,0.1252,0.74293,0.000852837,0.000852837,0.000852837
76,841.522,0.19351,0.16006,0.80431,0.99914,1,0.995,0.99437,0.14386,0.1202,0.74261,0.000841835,0.000841835,0.000841835
77,852.541,0.18002,0.15569,0.79855,0.99924,1,0.995,0.995,0.14865,0.11549,0.74308,0.000830833,0.000830833,0.000830833
78,863.572,0.19293,0.15904,0.80325,0.99908,1,0.995,0.995,0.13883,0.11331,0.74022,0.000819831,0.000819831,0.000819831
79,874.574,0.19146,0.16006,0.80111,0.99916,1,0.995,0.9943,0.14432,0.12576,0.73987,0.000808828,0.000808828,0.000808828
80,885.615,0.19228,0.16402,0.81024,0.99919,1,0.995,0.99398,0.13929,0.11856,0.73979,0.000797826,0.000797826,0.000797826
