epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,564.122,0.57877,0.35412,0.84541,0.9995,1,0.995,0.87436,0.51993,0.30319,0.78826,0.0011288,0.0011288,0.0011288
46,576.606,0.55319,0.33674,0.83178,0.99932,1,0.995,0.87139,0.55146,0.2766,0.79245,0.001109,0.001109,0.001109
47,589.106,0.55601,0.33214,0.84753,0.99945,1,0.995,0.89198,0.50188,0.27337,0.78815,0.0010892,0.0010892,0.0010892
48,601.56,0.53689,0.33077,0.84251,0.99945,1,0.995,0.89132,0.49627,0.31431,0.78244,0.0010694,0.0010694,0.0010694
49,614.087,0.54949,0.33321,0.84543,0.99947,1,0.995,0.86722,0.55876,0.29268,0.79377,0.0010496,0.0010496,0.0010496
50,626.534,0.54412,0.32373,0.83554,0.9991,1,0.995,0.87289,0.53095,0.26392,0.78745,0.0010298,0.0010298,0.0010298
51,638.938,0.54355,0.3182,0.83465,0.99951,1,0.995,0.8921,0.46548,0.24777,0.78016,0.00101,0.00101,0.00101
52,651.33,0.54434,0.31603,0.83599,0.99954,1,0.995,0.87713,0.54475,0.26521,0.78851,0.0009902,0.0009902,0.0009902
53,663.655,0.53071,0.31793,0.834,0.99956,1,0.995,0.88343,0.51589,0.2819,0.78598,0.0009704,0.0009704,0.0009704
54,676.056,0.53167,0.31802,0.84276,0.99955,1,0.995,0.8919,0.51457,0.25299,0.7865,0.0009506,0.0009506,0.0009506
55,688.447,0.55619,0.32231,0.84135,0.99955,1,0.995,0.88187,0.53401,0.26497,0.78935,0.0009308,0.0009308,0.0009308
56,700.829,0.52267,0.30618,0.83631,0.99927,1,0.995,0.88122,0.54769,0.25844,0.79435,0.000911,0.000911,0.000911
57,713.189,0.55916,0.32796,0.84087,0.99957,1,0.995,0.90926,0.47281,0.25811,0.7841,0.0008912,0.0008912,0.0008912
58,725.596,0.52944,0.31204,0.83694,0.99956,1,0.995,0.90986,0.46303,0.23297,0.78485,0.0008714,0.0008714,0.0008714
59,737.972,0.54343,0.32141,0.82629,0.99947,1,0.995,0.88217,0.52113,0.257,0.7858,0.0008516,0.0008516,0.0008516
60,750.259,0.52829,0.31918,0.83542,0.9995,1,0.995,0.90144,0.48554,0.26469,0.78301,0.0008318,0.0008318,0.0008318
61,762.696,0.54579,0.3208,0.83868,0.99955,1,0.995,0.91475,0.44903,0.25491,0.77682,0.000812,0.000812,0.000812
62,775.084,0.52949,0.30949,0.83233,0.99945,1,0.995,0.91307,0.46826,0.25015,0.7803,0.0007922,0.0007922,0.0007922
63,787.409,0.51806,0.30607,0.83004,0.99936,1,0.995,0.89788,0.48687,0.25079,0.78308,0.0007724,0.0007724,0.0007724
64,799.839,0.51441,0.29687,0.8353,0.99615,1,0.995,0.89452,0.49786,0.24254,0.78433,0.0007526,0.0007526,0.0007526
65,812.259,0.527,0.30693,0.83322,0.99957,1,0.995,0.91342,0.45944,0.2247,0.7826,0.0007328,0.0007328,0.0007328
