epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.08193,1.18249,4.37379,1.24628,0.00349,1,0.00601,0.00491,0.66453,3.55691,0.82992,0.0001667,0.0001667,0.0001667
2,8.71227,0.68303,2.5501,0.89627,0.00358,1,0.00712,0.0061,0.57179,3.32351,0.79182,0.00034776,0.00034776,0.00034776
3,12.1114,0.62622,2.11576,0.88332,0.0034,1,0.00579,0.00507,0.51132,3.21967,0.78708,0.000526399,0.000526399,0.000526399
4,15.1904,0.57571,1.93587,0.87396,0.0034,1,0.00595,0.00519,0.52676,3.1375,0.77815,0.000702617,0.000702617,0.000702617
5,18.3351,0.54983,1.64634,0.8652,0.00347,1,0.23738,0.20061,0.61818,3.11017,0.79294,0.000876415,0.000876415,0.000876415
6,21.5166,0.58779,1.40473,0.87056,0.00342,1,0.20452,0.10833,0.70523,3.23467,0.88209,0.00104779,0.00104779,0.00104779
7,24.6288,0.55406,1.1727,0.84502,0.95286,0.89225,0.985,0.83075,0.58055,2.24386,0.80203,0.00121675,0.00121675,0.00121675
8,27.8196,0.55939,1.2196,0.84668,1,0.63291,0.9925,0.83162,0.66974,2.03413,0.81463,0.00138329,0.00138329,0.00138329
9,30.9665,0.51488,1.10001,0.86414,0.94919,0.95265,0.99326,0.87811,0.54426,1.60823,0.80555,0.0015474,0.0015474,0.0015474
10,34.1746,0.50636,0.96161,0.84552,0.98448,0.97735,0.995,0.89931,0.50737,1.14143,0.78043,0.00156798,0.00156798,0.00156798
11,37.324,0.50538,0.95409,0.83443,0.99092,1,0.995,0.90274,0.50344,0.91241,0.79081,0.00155698,0.00155698,0.00155698
12,40.4768,0.46191,0.86098,0.83047,0.94201,0.97834,0.995,0.90459,0.43171,0.88002,0.79261,0.00154598,0.00154598,0.00154598
13,43.636,0.44194,0.82789,0.82698,0.98954,1,0.995,0.91722,0.45187,0.74363,0.79346,0.00153497,0.00153497,0.00153497
14,47.1966,0.47124,0.83182,0.83362,0.99141,1,0.995,0.87966,0.47285,0.56074,0.78356,0.00152397,0.00152397,0.00152397
15,50.643,0.48524,0.74991,0.82779,0.99547,1,0.995,0.8818,0.53917,0.49157,0.78672,0.00151297,0.00151297,0.00151297
16,53.8387,0.44722,0.78613,0.83659,0.99696,1,0.995,0.89117,0.46158,0.50841,0.77756,0.00150197,0.00150197,0.00150197
